Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Pizzarella5020],Precio [Pizzarella5020],En inventario [Pizzarella5020],Existencias bajas [Pizzarella5020]
agua,10046,Agua,BEBIDAS,,N,,,,,,,0,,,,N,Y,2000,,
basica,10008,BÁSICA,BÁSICAS,"<p>Salsa de la casa, mozzarella, + ingrediente a elecci&oacute;n</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,44000,,
basica,10007,,,,,,FAM (40CM),,,,,0,,,,,Y,38000,,
basica,10006,,,,,,MED (30CM),,,,,0,,,,,Y,22000,,
basica,10005,,,,,,PEQ (24CM),,,,,0,,,,,Y,17000,,
caja_pizza,10054,Cajas de Pizza,ADICIONALES,,N,Tamaño,FAM,,,,,0,,,,N,Y,2500,,
caja_pizza,10053,,,,,,MED,,,,,0,,,,,Y,1800,,
caja_pizza,10052,,,,,,PEQ,,,,,0,,,,,Y,1500,,
cono_pizza,10045,CONO PIZZA,CONO PIZZA,"<p>Salsa de la casa, mozarella, pollo, tocineta, pimenton (Fin de semana)</p>",N,,,,,,,0,,,,N,Y,6000,,
delivery,10055,Delivery,ADICIONALES,,N,,,,,,,0,,,,N,Y,4000,,
diavola,10036,DIAVOLA,ESPECIALES,"<p>Salsa de la casa, mozzarella, pepperoni, aceitunas, champi&ntilde;ones, piment&oacute;n</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,61000,,
diavola,10035,,,,,,FAM (40CM),,,,,0,,,,,Y,55000,,
diavola,10034,,,,,,MED (30CM),,,,,0,,,,,Y,32000,,
diavola,10033,,,,,,PEQ (24CM),,,,,0,,,,,Y,24000,,
granjera,10024,GRANJERA,ESPECIALES,"<p>Salsa de la casa, mozzarella, jam&oacute;n, pollo, ma&iacute;z</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,51000,,
granjera,10023,,,,,,FAM (40CM),,,,,0,,,,,Y,45000,,
granjera,10022,,,,,,MED (30CM),,,,,0,,,,,Y,27000,,
granjera,10021,,,,,,PEQ (24CM),,,,,0,,,,,Y,22000,,
hawaiana,10016,HAWAIANA,BÁSICAS,"<p>Salsa de la casa, mozzarella, tocineta, pi&ntilde;a (bocadillo opcional)</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,48000,,
hawaiana,10015,,,,,,FAM (40CM),,,,,0,,,,,Y,42000,,
hawaiana,10014,,,,,,MED (30CM),,,,,0,,,,,Y,24000,,
hawaiana,10013,,,,,,PEQ (24CM),,,,,0,,,,,Y,19000,,
napolitana,10004,NAPOLITANA,BÁSICAS,"<p>Salsa de la casa, mozzarella</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,34000,,
napolitana,10003,,,,,,FAM (40CM),,,,,0,,,,,Y,28000,,
napolitana,10002,,,,,,MED (30CM),,,,,0,,,,,Y,17000,,
napolitana,10001,,,,,,PEQ (24CM),,,,,0,,,,,Y,13000,,
pizzarella,10044,PIZZARELLA,ESPECIALES,"<p>Salsa de la casa, mozzarella, + 5 ingredientes a tu elecci&oacute;n</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,66000,,
pizzarella,10043,,,,,,FAM (40CM),,,,,0,,,,,Y,60000,,
pizzarella,10042,,,,,,MED (30CM),,,,,0,,,,,Y,38000,,
pizzarella,10041,,,,,,PEQ (24CM),,,,,0,,,,,Y,28000,,
puglia,10040,PUGLIA,ESPECIALES,"<p>Salsa de la casa, mozarella, anchoas, pepperoni, aceitunas</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,51000,,
puglia,10039,,,,,,FAM (40CM),,,,,0,,,,,Y,45000,,
puglia,10038,,,,,,MED (30CM),,,,,0,,,,,Y,28000,,
puglia,10037,,,,,,PEQ (24CM),,,,,0,,,,,Y,20000,,
refresco_15l,10049,Refresco 1.5L,BEBIDAS,,N,,,,,,,0,,,,N,Y,7000,,
refresco_1l,10048,Refresco 1L,BEBIDAS,,N,,,,,,,0,,,,N,Y,5000,,
refresco_25l,10051,Refresco 2.5L,BEBIDAS,,N,,,,,,,0,,,,N,Y,8000,,
refresco_2l,10050,Refresco 2L,BEBIDAS,,N,,,,,,,0,,,,N,Y,8000,,
refresco_botella,10047,Refresco botella,BEBIDAS,,N,,,,,,,0,,,,N,Y,3000,,
siciliana,10028,SICILIANA,ESPECIALES,"<p>Salsa de la casa, mozzarella, jam&oacute;n, tocineta, salami</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,61000,,
siciliana,10027,,,,,,FAM (40CM),,,,,0,,,,,Y,55000,,
siciliana,10026,,,,,,MED (30CM),,,,,0,,,,,Y,32000,,
siciliana,10025,,,,,,PEQ (24CM),,,,,0,,,,,Y,24000,,
suprema,10012,SUPREMA,BÁSICAS,"<p>Salsa de la casa, mozzarella, salchicha, cebolla caramelizada</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,43000,,
suprema,10011,,,,,,FAM (40CM),,,,,0,,,,,Y,37000,,
suprema,10010,,,,,,MED (30CM),,,,,0,,,,,Y,24000,,
suprema,10009,,,,,,PEQ (24CM),,,,,0,,,,,Y,19000,,
toscana,10020,TOSCANA,BÁSICAS,"<p>Salsa de la casa, mozzarella, pepperoni, cebolla</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,44000,,
toscana,10019,,,,,,FAM (40CM),,,,,0,,,,,Y,38000,,
toscana,10018,,,,,,MED (30CM),,,,,0,,,,,Y,25000,,
toscana,10017,,,,,,PEQ (24CM),,,,,0,,,,,Y,20000,,
vegetariana,10032,VEGETARIANA,ESPECIALES,"<p>Salsa de la casa, mozzarella, ma&iacute;z, cebolla, piment&oacute;n, champi&ntilde;ones, aceitunas</p>",N,Tamaño,EXT FAM,,,,,0,,,,N,Y,46000,,
vegetariana,10031,,,,,,FAM (40CM),,,,,0,,,,,Y,40000,,
vegetariana,10030,,,,,,MED (30CM),,,,,0,,,,,Y,25000,,
